b'Out for a walk &amp; a milkshake https://t.co/X2tC8Jj8QL'
b'At Retro Fitness'
b'I\xe2\x80\x99ve been spared by the hangover gods (@callmehickey was not so lucky) so Chase and I are having ourselves a morning stroll. https://t.co/FF9AXLxUBX'
b'Gosh Luke is putting the gimbal on a light stand!\nLove low budget film making!\n#film #wedding https://t.co/NwGFO4WBbv'
b'Having fun https://t.co/2g2IbP45MA'
b'#Philly Its been a minute. https://t.co/UFtCqknjcd'
b'@IamMarkStephens @toto99com @SonyLegacyRecs Two tracks (Devil\xe2\x80\x99s Tower and Spanish Sea). The rest I believe is @vinniecolaiuta who isn\xe2\x80\x99t too shabby!'
b'@jimdonovancbs3 says my dress is burning his retinas \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/7D2rVsKLqe'
b'@gary_wassner @FGIPhilly @PhilaIncubator @CFDA Great panel discussion tonight \xe2\x80\x9cHow To Tell if your Brand is Investment Worthy\xe2\x80\x9d Invaluable advice Gary...thank you! Let\xe2\x80\x99s talk about Whoopi designing a shoe collection for my brand #BusStopX https://t.co/wVZsaB2sDb'
b'@PHLschools 3rd graders learning about college life @CCPedu This is part of our effort to have all 3rd graders visit and experience a college campus.   Never to early to plant that seed. https://t.co/sQReHljgzf'
b'@theIqstofus here'
b'would die for a 7-Eleven pink sprinkled donut https://t.co/ppYzfD2Bpd'
b'Picture Day\xf0\x9f\x93\xb8\nThanks Jim Graham &amp; Sherri Robinson (make up) for the great pics!\n@CBSPhilly https://t.co/lWQC3DusMH'
b'Took some pics of some neat auction items at my volunteer gig today. Do I have a future as a fashion photographer?! \xf0\x9f\x98\x9c You can bid on this awesome American Girl\nDoll &amp; other great items @ Hope\xe2\x80\x99s Night Out on June 6 to benefit @careerwardrobe! https://t.co/45au28Ispd https://t.co/tbmSzxLt4L'
b'#OurClassOurFuture | Congratulate our grads by taking a selfie with one of these around #Philly | Tag us in your post and we will retweet. #SDPProud #PHLed #Classof2019 https://t.co/T4eDFF44cM'
b'Poor @jimdonovancbs3 can\xe2\x80\x99t catch a break with his allergies! \xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7 https://t.co/EKJXS7CGTC'
"b'On a scale of 10, today my allergies are an 11.  #Achoo https://t.co/fiQ80TyRY2'"
b'At Retro Fitness'
b'Friggin psyched for what\xe2\x80\x99s ahead for both of my companies. First focus @paradigmluxury #LoganSquare #paradigmluxury #jamiv https://t.co/QygAZa9JZQ'
b'It\xe2\x80\x99s Happening &amp; I can\xe2\x80\x99t wait!!! #Classof2019 #DrexelCNHP #Finally #TheEnd #BetterFuture Ready for a New Chapter to begin! https://t.co/D0L9vpkc5u'
b'#Tuesday view \xf0\x9f\x91\x80\xf0\x9f\x91\x80@jimdonovancbs3 @CBSPhilly #amnewsers #tvnewers #philly https://t.co/1ZcUPCvP6b'
