b'Van Pelt Library always looking like a furniture store. https://t.co/zjARvmjZw6'
b'No Man. #breakfreefest https://t.co/3czvPrVqLs'
"b'This smile says it all! The new Dock Street x @ChillMoody #nicethings Cream Ale with blackberry is dope, crushable, and easy on the eyes too \xf0\x9f\x98\x8d Come to @citytapucity for the first ever keg of this new staple! https://t.co/lhWc4Wbqlk'"
b'Lol https://t.co/QSuw0yokBS'
b'blessed to be living in the same city as this band https://t.co/yzH5wHwCGM'
b'My friends The Smithereens!\nJimmy Babjak\nDennis Diken\nMike Mesaros \nAnd special guest\nMarshall Crenshaw https://t.co/nmwxAhENaK'
"b'86) MAMBA. Man, Jean Hersholt is a real creep. Why did they name that humanitarian award after him? #365Movies https://t.co/pjb3wXvxv4'"
b'The Smithereens Live! https://t.co/qyoz9OpJBm'
b'INCREDIBLE show in Philly last night! Thank you @AmyRay for all the years of making music that touches us all. Absolutely brilliant! https://t.co/XVWanCowbF'
b'throwing ass'
b'https://t.co/py6KhcchBx'
b'The \xf0\x9f\x90\x90\xe2\x9d\xa4\xef\xb8\x8f https://t.co/is1CGkgqFp'
"b'It\xe2\x80\x99s the annual College-living Consignment Curb Shop! We\xe2\x80\x99ve got a bed, chairs, a shelf.... and a lot of trash. Nearby businesses and homeowners say they are fed up with this happening every spring when off-campus students move out. Who\xe2\x80\x99s accountable? @FOX29philly at 5&amp;6 https://t.co/RTI6ZK6Tvz'"
"b'266 days ago I was diagnosed with Acute Myeloid Leukemia. It\xe2\x80\x99s been a crazy nine months, I just want to say thank you to all my friends and family for everything. Last infusion ever today. #LastSetBestSet https://t.co/tWtqLipRCL'"
b'Exploring my new home and excited for all the adventures to come\xf0\x9f\x8c\x9e https://t.co/jrr0jbNGoE'
b'my best friends are about to get engaged and I cannot wait \xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/k8Xb9Tc6Xb'
b'\xe2\x9d\xa4\xef\xb8\x8f https://t.co/vmBaTc3cRK'
b'\xf0\x9f\xa5\xb0'
b'this four day weekend rly making me feel like a thot for no good reason'
b'#Pennsylvania has not raised the minimum wage in a decade. Every neighboring state has a higher wage than Pennsylvania. #RaiseTheWagePA #WeThePeoplePA\n\nhttps://t.co/J4Vai24XuI'
b'@ProfAngelMatos @PhDerritt LOVE that book and planning to teach it soon. Really looking forward to reading this!'
b'Crop top day 2 https://t.co/j0omIZFV6i'
b'Bob Gillies of @MoffittNews explains the \xe2\x80\x9chype and hope\xe2\x80\x9d of #radiomics to guide cancer care https://t.co/tstzRJ3wdK'
b'Interesting morning of speakers  at #RecruitPhilly19 https://t.co/KqNgTZzcY7'
"b'Precarious Statuses of Migrants Conference. The Center for the Study of Ethnicity, Race and Immigration with @mjonescorrea hosting an interdisciplinary conference @Penn addressing migrant issues around the world. https://t.co/36FzJqjZEL'"
"b""today's activities #recruitphilly #clixerlife https://t.co/xtj0M0xi32"""
b'Excited for #RecruitPhilly https://t.co/NV7wAgzDXb'
"b'Welp, I wasn\xe2\x80\x99t prepared for any type of physical activity this morning but I\xe2\x80\x99m not mad about it. @newmaed getting the energy flowing before talking about the Future of Talent Experience #RecruitPhilly19 https://t.co/DlNjNwGFQ5'"
"b'The always fabulous Ali Brody kicking off today\xe2\x80\x99s first ever #RecruitPhilly19 conference, over 100 TA professionals from the Philly area are here to share thoughts, ideas, and stories. https://t.co/vradM8TtCu'"
"b'#RecruitPhilly19 testing testing, here all day folks https://t.co/bFyq81kqQw'"
b'Checking out the stickers while the #recruitphilly crew finishes their prep. https://t.co/cl1ZuWZgmu'
b'@JeffreyInsko I\xe2\x80\x99ll be there! Would be great to see you.'
"b'Free Will Mango Wheat out of Perkasie, PA. Proof has competition.\nExcellent with the mussels. https://t.co/GPxOKBwYBv'"
b'\xe4\xbf\xaf\xe7\x9e\xb0\xe8\xb4\xb9\xe5\x9f\x8e\xef\xbc\x81 https://t.co/bZVXCL0ClI'
b'\xe5\x86\x8d\xe6\xb8\xb8\xe5\x8e\x86\xe5\x8f\xb2\xe6\x82\xa0\xe4\xb9\x85\xe7\x9a\x84UP\xef\xbc\x81 https://t.co/LH5GAbeB0w'
"b'It\xe2\x80\x99s $5 movie day... I\xe2\x80\x99m bar tending at 40th st movie theater \n(you don\xe2\x80\x99t need a ticket for the bar), come fwm!'"
b'There\xe2\x80\x99s a pond behind my office and it now has ducklings and this is much more interesting than the grant annual report I\xe2\x80\x99m working on https://t.co/cpZnWEXtu7'
b'Yesterday at lunch. https://t.co/py6uB7SM8i'
"b""i'm playing a show in philly tmrw night!!! https://t.co/iUVo25Nvqy"""
b'Did you know our CEO has been a full time Masters student at @UofPenn this past year? Congrats @tiffyyau !!\xf0\x9f\x8e\x93 https://t.co/c1V9GBQrfT'
b'Degree fulfilled\xf0\x9f\x8e\x93\xe2\x9c\x85 Ready to get to work\xf0\x9f\x92\xa5\xf0\x9f\x9a\x80 https://t.co/jZSvENBDOn'
b'#PhillyCalendar 5/21 Primary Election #IVotedToday https://t.co/sWlsiAYKMu'
b'Voter fraud / not a fan #ElectionDay https://t.co/ImxR3Kxtw5'
"b'We made it, folks! \xf0\x9f\x8e\x89\xf0\x9f\x92\x95 #WHNP #ClassOf2019 @PennNursing https://t.co/bkAN1vowA8'"
"b""Because she's a #tarheel from @UNC_SSW #GDTBATH #GoHeels #luxlibertas @PennSP2 https://t.co/lU2bNUYC3o"""
b'@SparkProgramPHL is a great local nonprofit that connects college students and professionals with middle school students to develop a project over a semester. Highly suggest this program to anyone looking for volunteering experience!'
b'So proud of my @SparkProgramPHL mentee who presented her #DIY 3D printed virtual reality headset and video game today at #shareyourspark https://t.co/5JWkDJOfJ3'
b'Everyday crafting \xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x94\xa7 #technician https://t.co/WRs0xWtU1L'
b'I see you @deray!'
b'View from the stage! Congratulations to all the @PennSP2 graduates today!    \xf0\x9f\x8e\x93\xf0\x9f\x8e\x93\xf0\x9f\x8e\x93 #Classof2019 https://t.co/IHABWDnpgS'
b'@jaxwendy @TheGurglingCod This is fantastic! Thanks for sharing the idea.'
b'TODAY! 6pm Main Building Auditorium #rjmitte #breakingbad #ambitioncantwait #drexel https://t.co/WLgX9b6Hqe'
b'Great day for some SBIRT and naloxone training for pharmacists in the Philadelphia area presented with Drs. Kitty Koffer and George Downs! #USciences #SBIRT #SAMHSA #harmreduction #opioidcrisis #naloxone #pharmacists https://t.co/wsj8aquoCR'
